Target,Model,Best_CV_Spearman,N_Trials
target_0,ElasticNet,0.02811232075751184,10
target_0,XGBoost,0.013765089470403351,10
target_0,LightGBM,0.0027163386929705893,10
target_1,ElasticNet,0.06243719449590973,10
target_1,XGBoost,0.0,10
target_1,LightGBM,0.032121545088458596,10
target_2,ElasticNet,0.07332346207283424,10
target_2,XGBoost,0.0,10
target_2,LightGBM,0.040405935935820425,10
target_3,ElasticNet,0.06783447736386537,10
target_3,XGBoost,0.0,10
target_3,LightGBM,0.011217552155087247,10
target_4,ElasticNet,0.002053966259210907,10
target_4,XGBoost,0.0,10
target_4,LightGBM,0.02326782771734726,10
target_5,ElasticNet,0.052394384776192536,10
target_5,XGBoost,0.0,10
target_5,LightGBM,0.052519703220777515,10
target_6,ElasticNet,0.09430066458300157,10
target_6,XGBoost,0.0,10
target_6,LightGBM,0.040521935716516314,10
target_7,ElasticNet,0.058651817390135426,10
target_7,XGBoost,0.0,10
target_7,LightGBM,0.030176512066403,10
target_8,ElasticNet,0.03615471935233283,10
target_8,XGBoost,0.0,10
target_8,LightGBM,0.00816560889252744,10
target_9,ElasticNet,0.06926406926406928,10
target_9,XGBoost,0.0,10
target_9,LightGBM,0.01788465446352644,10
target_10,ElasticNet,0.06227474407753373,10
target_10,XGBoost,0.0,10
target_10,LightGBM,0.017094302581684668,10
target_11,ElasticNet,0.0,10
target_11,XGBoost,0.0,10
target_11,LightGBM,0.01671679102189917,10
target_12,ElasticNet,0.0902438093551593,10
target_12,XGBoost,0.0,10
target_12,LightGBM,0.0,10
target_13,ElasticNet,0.08127131532455491,10
target_13,XGBoost,0.0,10
target_13,LightGBM,0.06730127398133427,10
target_14,ElasticNet,0.0714989901703811,10
target_14,XGBoost,0.0,10
target_14,LightGBM,0.0020711557142515497,10
target_15,ElasticNet,0.045281689681488775,10
target_15,XGBoost,0.0,10
target_15,LightGBM,0.02545561859554923,10
target_16,ElasticNet,0.06082952944820776,10
target_16,XGBoost,0.013505946842565968,10
target_16,LightGBM,0.05590834438943992,10
target_17,ElasticNet,0.040704053934723934,10
target_17,XGBoost,0.0,10
target_17,LightGBM,0.0656193010139636,10
target_18,ElasticNet,0.057427086558176466,10
target_18,XGBoost,0.0,10
target_18,LightGBM,0.021189158548962583,10
target_19,ElasticNet,0.04498695541331266,10
target_20,ElasticNet,0.06276094573432595,10
target_20,XGBoost,0.0,10
target_20,LightGBM,0.03274898214835028,10
target_21,ElasticNet,0.0,10
target_21,XGBoost,0.0,10
target_21,LightGBM,0.011967108023255088,10
target_22,ElasticNet,0.043042197932143915,10
target_22,XGBoost,0.0,10
target_22,LightGBM,0.07641188425219486,10
target_23,ElasticNet,0.014600668041150212,10
target_23,XGBoost,0.0,10
target_23,LightGBM,0.02652320055634973,10
target_24,ElasticNet,0.0,10
target_24,XGBoost,0.0,10
target_24,LightGBM,0.005763875386596554,10
